method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
true_logit_unweighted_vector_T,binary_class,donor,0,0.0,0.06666666666666667,553532,406701187.56602305,0.9985822127585745,7.367983510236818e-05,4.4504418854350363e-07,7.323479091382468e-05,7.313095956163859e-05
true_logit_unweighted_vector_T,binary_class,donor,1,0.06666666666666667,0.13333333333333333,274,136101.9917560001,0.0003341741608917546,0.09307580692760443,0.000786175122196791,0.09228963180540764,3.084081026758108e-05
true_logit_unweighted_vector_T,binary_class,donor,2,0.13333333333333333,0.2,192,83966.15060399995,0.00020616390369735624,0.1641666298014333,0.001059950936892899,0.1631066788645404,3.362670963382472e-05
true_logit_unweighted_vector_T,binary_class,donor,3,0.2,0.26666666666666666,157,44890.76973999995,0.00011022127682409993,0.23073443695793847,0.00227218202295856,0.2284622549349799,2.5181401445046508e-05
true_logit_unweighted_vector_T,binary_class,donor,4,0.26666666666666666,0.3333333333333333,158,29438.285648,7.228045877644911e-05,0.30161533006022495,0.004144263068127696,0.29747106699209724,2.1501345194908617e-05
true_logit_unweighted_vector_T,binary_class,donor,5,0.3333333333333333,0.4,160,36760.35705999999,9.025849891036016e-05,0.3715257460635419,0.0031283700485361943,0.36839737601500566,3.325099416162993e-05
true_logit_unweighted_vector_T,binary_class,donor,6,0.4,0.4666666666666667,153,22926.555504,5.629206706557753e-05,0.43136183064217853,0.005452192763025009,0.42590963787915354,2.397533389936915e-05
true_logit_unweighted_vector_T,binary_class,donor,7,0.4666666666666667,0.5333333333333333,187,24587.238040000004,6.036957677587115e-05,0.5009288669781083,0.006385426445401591,0.49454344053270677,2.9855378202242708e-05
true_logit_unweighted_vector_T,binary_class,donor,8,0.5333333333333333,0.6,180,23766.896772,5.8355375136777984e-05,0.5687775168529179,0.0063533746727042,0.5624241421802136,3.2820471802906924e-05
true_logit_unweighted_vector_T,binary_class,donor,9,0.6,0.6666666666666666,218,18111.507896,4.4469576642792703e-05,0.6390289738266431,0.010821848800523528,0.6282071250261196,2.7936104893897484e-05
true_logit_unweighted_vector_T,binary_class,donor,10,0.6666666666666666,0.7333333333333333,255,19775.190432,4.855445231790241e-05,0.698895387208016,0.01168130343898981,0.6872140837690263,3.336730346255418e-05
true_logit_unweighted_vector_T,binary_class,donor,11,0.7333333333333333,0.8,361,18254.507896,4.482068763235994e-05,0.7690557490027877,0.01857075534061825,0.7504849936621695,3.3637253473705726e-05
true_logit_unweighted_vector_T,binary_class,donor,12,0.8,0.8666666666666667,552,16005.484092,3.929861089541793e-05,0.8298307305294598,0.03330108586133978,0.79652964466812,3.130250857247796e-05
true_logit_unweighted_vector_T,binary_class,donor,13,0.8666666666666667,0.9333333333333333,1116,19822.849164,4.867146983226632e-05,0.9022546342157831,0.05513839059951998,0.8471162436162631,4.123039269559172e-05
true_logit_unweighted_vector_T,binary_class,donor,14,0.9333333333333333,1.0,50493,83026.65071999998,0.0002038571293339329,0.9866148091688441,0.6076723505341468,0.37894245863469733,7.725012180001202e-05
true_logit_target_weighted_vector_T,multiclass,argmax,0,0.0,0.06666666666666667,0,0.0,0.0,,,,0.0
true_logit_target_weighted_vector_T,multiclass,argmax,1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,,,,0.0
true_logit_target_weighted_vector_T,multiclass,argmax,2,0.13333333333333333,0.2,0,0.0,0.0,,,,0.0
true_logit_target_weighted_vector_T,multiclass,argmax,3,0.2,0.26666666666666666,0,0.0,0.0,,,,0.0
true_logit_target_weighted_vector_T,multiclass,argmax,4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,,,,0.0
true_logit_target_weighted_vector_T,multiclass,argmax,5,0.3333333333333333,0.4,0,0.0,0.0,,,,0.0
true_logit_target_weighted_vector_T,multiclass,argmax,6,0.4,0.4666666666666667,0,0.0,0.0,,,,0.0
