bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
4,0.26666666666666666,0.3333333333333333,1241,4565.431296000001,0.29708082883594533,0.2709492093515451,0.026131619484400237,2.86673667361698e-07,OpenSpliceAI-style vector T,binary_class,acceptor
5,0.3333333333333333,0.4,1122,2784.2156480000003,0.3672104414437833,0.4022676910118422,0.03505724956805889,2.3454186568442623e-07,OpenSpliceAI-style vector T,binary_class,acceptor
6,0.4,0.4666666666666667,1104,1935.1078240000002,0.43126596181981075,0.5699940780147452,0.13872811619493447,6.450736809342533e-07,OpenSpliceAI-style vector T,binary_class,acceptor
7,0.4666666666666667,0.5333333333333333,1243,1243.0,0.5016349808205598,1.0,0.4983650191794402,1.4885325808344006e-06,OpenSpliceAI-style vector T,binary_class,acceptor
8,0.5333333333333333,0.6,1424,2255.107824,0.5754144372944165,0.6310119564376093,0.055597519143192775,3.012745108006627e-07,OpenSpliceAI-style vector T,binary_class,acceptor
9,0.6,0.6666666666666666,1453,2284.107824,0.6448022644938851,0.6356967848642158,0.009105479629669344,4.997572391243842e-08,OpenSpliceAI-style vector T,binary_class,acceptor
10,0.6666666666666666,0.7333333333333333,1785,1785.0,0.700704205932439,1.0,0.299295794067561,1.2837442147505681e-06,OpenSpliceAI-style vector T,binary_class,acceptor
11,0.7333333333333333,0.8,2202,3033.107824,0.771387483225154,0.7256583437569214,0.04572913946823265,3.332886647104086e-07,OpenSpliceAI-style vector T,binary_class,acceptor
12,0.8,0.8666666666666667,3232,4894.215648,0.8314712292657502,0.6599627462921307,0.17150848297361954,2.017011488692403e-06,OpenSpliceAI-style vector T,binary_class,acceptor
13,0.8666666666666667,0.9333333333333333,5363,6194.107824000001,0.9053882181289794,0.8656613918188711,0.039726826310108265,5.912924011681342e-07,OpenSpliceAI-style vector T,binary_class,acceptor
14,0.9333333333333333,1.0,24716,25547.107824,0.9799433804350298,0.9674284921121958,0.012514888322833984,7.68260287843037e-07,OpenSpliceAI-style vector T,binary_class,acceptor
0,0.0,0.06666666666666667,556694,416074868.36356795,7.873337066783378e-06,8.923874721401258e-06,1.0505376546178791e-06,1.0503227517207456e-06,OpenSpliceAI-style vector T,binary_class,donor
1,0.06666666666666667,0.13333333333333333,1616,10758.186064000001,0.10340837503386839,0.14918871921826987,0.04578034418440148,1.1834714071745279e-06,OpenSpliceAI-style vector T,binary_class,donor
2,0.13333333333333333,0.2,1343,7991.862592,0.1675362101187203,0.1670449140775217,0.0004912960411986023,9.434761758104576e-09,OpenSpliceAI-style vector T,binary_class,donor
3,0.2,0.26666666666666666,1237,5392.53912,0.23944445534320685,0.2284638038935543,0.010980651449652545,1.4228564135269145e-07,OpenSpliceAI-style vector T,binary_class,donor
4,0.26666666666666666,0.3333333333333333,1155,5310.53912,0.3025744448310987,0.21655051850931473,0.08602392632178396,1.0977350682137435e-06,OpenSpliceAI-style vector T,binary_class,donor
5,0.3333333333333333,0.4,1256,2918.2156480000003,0.36559661254728987,0.4297146445840729,0.06411803203678301,4.4961131393864264e-07,OpenSpliceAI-style vector T,binary_class,donor
6,0.4,0.4666666666666667,1310,3803.323472,0.4337039489294856,0.34364681563956123,0.09005713328992437,8.230401981511965e-07,OpenSpliceAI-style vector T,binary_class,donor
7,0.4666666666666667,0.5333333333333333,1286,3779.3234720000005,0.4976663275678052,0.3394787478514091,0.15818757971639613,1.4365677455811397e-06,OpenSpliceAI-style vector T,binary_class,donor
8,0.5333333333333333,0.6,1505,2336.107824,0.5779871260560676,0.6438058999454812,0.0658187738894136,3.6947268514308444e-07,OpenSpliceAI-style vector T,binary_class,donor
9,0.6,0.6666666666666666,1705,2536.107824,0.6362087735350772,0.671895722995096,0.035686949460018824,2.174787383223912e-07,OpenSpliceAI-style vector T,binary_class,donor
10,0.6666666666666666,0.7333333333333333,2025,3687.2156480000003,0.6993543301002192,0.5486524774045437,0.1507018526956755,1.3352321930077029e-06,OpenSpliceAI-style vector T,binary_class,donor
11,0.7333333333333333,0.8,2481,2481.0,0.7683687822746025,1.0,0.23163121772539752,1.3809041022123974e-06,OpenSpliceAI-style vector T,binary_class,donor
12,0.8,0.8666666666666667,3680,5342.215648,0.8371929004267623,0.6884783846898723,0.14871451573688999,1.9090374208341886e-06,OpenSpliceAI-style vector T,binary_class,donor
13,0.8666666666666667,0.9333333333333333,6228,6228.0,0.9037627759734118,1.0,0.09623722402658819,1.4402283526470378e-06,OpenSpliceAI-style vector T,binary_class,donor
14,0.9333333333333333,1.0,22567,22567.0,0.977604309578675,1.0,0.022395690421325054,1.214445275225977e-06,OpenSpliceAI-style vector T,binary_class,donor
